,gene_name,sequence
48,"+,ILVGEDA,","[2, 2, 1, 1, 0, 0, 0, 0]"
30,"+,PORI-L,","[1, 3, 2, 3, 3, 2, 3, 3]"
6,"+,MALK,","[1, 0, 2, 2, 2, 2, 2, 3]"
78,"-, 991,","[3, 1, 3, 1, 0, 0, 1, 0]"
93,"-, 244,","[3, 2, 3, 3, 2, 0, 3, 3]"
80,"-, 850,","[1, 3, 0, 3, 0, 3, 2, 1]"
92,"-,1355,","[0, 2, 0, 1, 2, 3, 1, 3]"
82,"-,1108,","[0, 3, 1, 1, 1, 3, 0, 0]"
59,"-,1024,","[3, 2, 2, 0, 3, 2, 2, 0]"
27,"+,UVRBP1,","[3, 1, 1, 0, 2, 3, 0, 3]"
18,"+,TYRT,","[3, 1, 3, 1, 0, 0, 1, 2]"
61,"-, 313,","[1, 2, 3, 0, 2, 1, 2, 1]"
51,"+,TRPR,","[3, 2, 2, 2, 2, 0, 1, 2]"
63,"-,1384,","[1, 3, 0, 1, 2, 2, 3, 2]"
71,"-, 660,","[3, 3, 0, 2, 0, 2, 0, 2]"
43,"+,BIOA,","[2, 1, 1, 3, 3, 1, 3, 1]"
1,"+,AMPC,","[3, 2, 1, 3, 0, 3, 1, 1]"
79,"-, 751,","[3, 2, 0, 0, 2, 3, 2, 1]"
42,"+,ARABAD,","[3, 3, 0, 2, 1, 2, 2, 0]"
41,"+,ALAS,","[0, 0, 1, 2, 1, 0, 3, 0]"
4,"+,LEU1_TRNA,","[3, 1, 2, 0, 3, 0, 0, 3]"
15,"+,RRNG_P2,","[0, 0, 2, 1, 0, 0, 0, 2]"
17,"+,TNAA,","[0, 0, 0, 1, 0, 0, 3, 3]"
40,"+,PORI-R,","[2, 0, 3, 1, 2, 1, 0, 1]"
38,"+,RPOA,","[3, 3, 1, 2, 1, 0, 3, 0]"
5,"+,MALEFG,","[0, 2, 2, 2, 2, 1, 0, 0]"
53,"-, 867,","[0, 3, 0, 3, 2, 0, 0, 1]"
97,"-, 230,","[1, 2, 1, 3, 0, 2, 2, 0]"
56,"-, 521,","[3, 3, 2, 0, 1, 1, 3, 0]"
0,"+,S10,","[3, 0, 1, 3, 0, 2, 1, 0]"
34,"+,TUFB,","[0, 3, 2, 1, 0, 0, 3, 3]"
28,"+,UVRBP3,","[0, 1, 0, 2, 3, 3, 0, 3]"
55,"-, 802,","[1, 0, 0, 3, 2, 2, 1, 1]"
50,"+,LPP,","[1, 1, 0, 3, 1, 0, 0, 0]"
11,"+,RRNDEX_P2","[1, 1, 3, 2, 0, 0, 0, 3]"
62,"-, 780,","[1, 2, 0, 1, 1, 2, 0, 0]"
35,"+,SUBB-E,","[1, 1, 3, 3, 2, 0, 0, 0]"
23,"+,TRPP2,","[0, 1, 1, 2, 2, 0, 0, 2]"
31,"+,SPOT42,","[0, 3, 3, 0, 1, 0, 0, 0]"
95,"-, 296,","[0, 2, 2, 1, 0, 3, 2, 3]"
57,"-, 918,","[1, 2, 3, 1, 3, 0, 3, 1]"
86,"-,1320,","[3, 0, 2, 0, 2, 2, 2, 3]"
90,"-, 260,","[2, 2, 3, 2, 3, 3, 3, 3]"
32,"+,M1RNA,","[0, 3, 2, 1, 2, 1, 0, 0]"
89,"-, 957,","[0, 1, 2, 1, 3, 0, 0, 1]"
14,"+,RRNG_P1,","[3, 3, 3, 0, 3, 0, 3, 3]"
74,"-,  35,","[1, 0, 3, 2, 0, 0, 1, 3]"
19,"+,ARAC,","[2, 1, 0, 0, 0, 3, 0, 0]"
29,"+,LEXA,","[3, 2, 3, 2, 1, 0, 2, 3]"
49,"+,LACP1,","[3, 0, 2, 2, 1, 0, 1, 1]"
103,"-,1226,","[1, 2, 1, 2, 0, 1, 3, 0]"
104,"-, 794,","[1, 3, 1, 2, 3, 1, 1, 3]"
69,"-, 753,","[0, 0, 2, 3, 2, 1, 3, 3]"
