,gene_name,sequence
0,"+,S10,","[3, 0, 1, 3, 0, 2, 1, 0]"
1,"+,AMPC,","[3, 2, 1, 3, 0, 3, 1, 1]"
2,"+,AROH,","[2, 3, 0, 1, 3, 0, 2, 0]"
3,"+,DEOP2,","[0, 0, 3, 3, 2, 3, 2, 0]"
4,"+,LEU1_TRNA,","[3, 1, 2, 0, 3, 0, 0, 3]"
5,"+,MALEFG,","[0, 2, 2, 2, 2, 1, 0, 0]"
6,"+,MALK,","[1, 0, 2, 2, 2, 2, 2, 3]"
7,"+,RECA,","[3, 3, 3, 1, 3, 0, 1, 0]"
8,"+,RPOB,","[1, 2, 0, 1, 3, 3, 0, 0]"
9,"+,RRNAB_P1,","[3, 3, 3, 3, 0, 0, 0, 3]"
10,"+,RRNAB_P2,","[2, 1, 0, 0, 0, 0, 0, 3]"
11,"+,RRNDEX_P2","[1, 1, 3, 2, 0, 0, 0, 3]"
12,"+,RRND_P1,","[2, 0, 3, 1, 0, 0, 0, 0]"
13,"+,RRNE_P1,","[1, 3, 2, 1, 0, 0, 3, 3]"
14,"+,RRNG_P1,","[3, 3, 3, 0, 3, 0, 3, 3]"
15,"+,RRNG_P2,","[0, 0, 2, 1, 0, 0, 0, 2]"
16,"+,RRNX_P1,","[0, 3, 2, 1, 0, 3, 3, 3]"
17,"+,TNAA,","[0, 0, 0, 1, 0, 0, 3, 3]"
18,"+,TYRT,","[3, 1, 3, 1, 0, 0, 1, 2]"
19,"+,ARAC,","[2, 1, 0, 0, 0, 3, 0, 0]"
20,"+,LACI,","[2, 0, 1, 0, 1, 1, 0, 3]"
21,"+,MALT,","[0, 0, 0, 0, 0, 1, 2, 3]"
22,"+,TRP,","[3, 1, 3, 2, 0, 0, 0, 3]"
23,"+,TRPP2,","[0, 1, 1, 2, 2, 0, 0, 2]"
24,"+,THR,","[0, 0, 0, 3, 3, 0, 0, 0]"
25,"+,BIOB,","[3, 3, 2, 3, 1, 0, 3, 0]"
26,"+,FOL,","[1, 0, 3, 1, 1, 3, 1, 2]"
27,"+,UVRBP1,","[3, 1, 1, 0, 2, 3, 0, 3]"
28,"+,UVRBP3,","[0, 1, 0, 2, 3, 3, 0, 3]"
29,"+,LEXA,","[3, 2, 3, 2, 1, 0, 2, 3]"
30,"+,PORI-L,","[1, 3, 2, 3, 3, 2, 3, 3]"
31,"+,SPOT42,","[0, 3, 3, 0, 1, 0, 0, 0]"
32,"+,M1RNA,","[0, 3, 2, 1, 2, 1, 0, 0]"
33,"+,GLNS,","[3, 0, 0, 0, 0, 0, 0, 1]"
34,"+,TUFB,","[0, 3, 2, 1, 0, 0, 3, 3]"
35,"+,SUBB-E,","[1, 1, 3, 3, 2, 0, 0, 0]"
36,"+,STR,","[3, 1, 2, 3, 3, 2, 3, 0]"
37,"+,SPC,","[1, 1, 2, 3, 3, 3, 0, 3]"
38,"+,RPOA,","[3, 3, 1, 2, 1, 0, 3, 0]"
39,"+,RPLJ,","[3, 2, 3, 0, 0, 0, 1, 3]"
40,"+,PORI-R,","[2, 0, 3, 1, 2, 1, 0, 1]"
41,"+,ALAS,","[0, 0, 1, 2, 1, 0, 3, 0]"
42,"+,ARABAD,","[3, 3, 0, 2, 1, 2, 2, 0]"
43,"+,BIOA,","[2, 1, 1, 3, 3, 1, 3, 1]"
44,"+,DEOP1,","[1, 0, 2, 0, 0, 0, 1, 2]"
45,"+,GALP2,","[1, 0, 1, 3, 0, 0, 3, 3]"
46,"+,HIS,","[0, 3, 0, 3, 0, 0, 0, 0]"
47,"+,HISJ,","[1, 0, 0, 2, 2, 3, 0, 2]"
48,"+,ILVGEDA,","[2, 2, 1, 1, 0, 0, 0, 0]"
49,"+,LACP1,","[3, 0, 2, 2, 1, 0, 1, 1]"
50,"+,LPP,","[1, 1, 0, 3, 1, 0, 0, 0]"
51,"+,TRPR,","[3, 2, 2, 2, 2, 0, 1, 2]"
52,"+,UVRB_P2,","[3, 1, 0, 2, 0, 0, 0, 3]"
53,"-, 867,","[0, 3, 0, 3, 2, 0, 0, 1]"
54,"-,1169,","[1, 2, 0, 0, 1, 2, 0, 2]"
55,"-, 802,","[1, 0, 0, 3, 2, 2, 1, 1]"
56,"-, 521,","[3, 3, 2, 0, 1, 1, 3, 0]"
57,"-, 918,","[1, 2, 3, 1, 3, 0, 3, 1]"
58,"-,1481,","[2, 1, 1, 0, 0, 3, 1, 0]"
59,"-,1024,","[3, 2, 2, 0, 3, 2, 2, 0]"
60,"-,1149,","[2, 0, 2, 2, 3, 2, 2, 1]"
61,"-, 313,","[1, 2, 3, 0, 2, 1, 2, 1]"
62,"-, 780,","[1, 2, 0, 1, 1, 2, 0, 0]"
63,"-,1384,","[1, 3, 0, 1, 2, 2, 3, 2]"
64,"-, 507,","[0, 3, 0, 2, 3, 1, 3, 1]"
65,"-,  39,","[0, 0, 1, 3, 1, 0, 0, 2]"
66,"-,1203,","[3, 3, 0, 1, 3, 2, 3, 2]"
67,"-, 988,","[3, 0, 3, 3, 1, 3, 1, 0]"
68,"-,1171,","[0, 0, 1, 2, 0, 2, 3, 1]"
69,"-, 753,","[0, 0, 2, 3, 2, 1, 3, 3]"
70,"-, 630,","[2, 0, 0, 2, 0, 1, 1, 0]"
71,"-, 660,","[3, 3, 0, 2, 0, 2, 0, 2]"
72,"-,1216,","[3, 0, 3, 3, 1, 2, 3, 1]"
73,"-, 835,","[3, 2, 1, 3, 2, 0, 0, 0]"
74,"-,  35,","[1, 0, 3, 2, 0, 0, 1, 3]"
75,"-,1218,","[3, 3, 1, 2, 3, 1, 3, 1]"
76,"-, 668,","[1, 0, 3, 2, 3, 1, 0, 2]"
77,"-, 413,","[0, 2, 2, 0, 2, 2, 0, 0]"
78,"-, 991,","[3, 1, 3, 1, 0, 0, 1, 0]"
79,"-, 751,","[3, 2, 0, 0, 2, 3, 2, 1]"
80,"-, 850,","[1, 3, 0, 3, 0, 3, 2, 1]"
81,"-,  93,","[2, 1, 2, 2, 1, 0, 2, 1]"
82,"-,1108,","[0, 3, 1, 1, 1, 3, 0, 0]"
83,"-, 915,","[3, 2, 2, 1, 2, 3, 1, 3]"
84,"-,1019,","[3, 1, 3, 1, 2, 3, 2, 2]"
85,"-,  19,","[3, 0, 3, 3, 2, 2, 1, 3]"
86,"-,1320,","[3, 0, 2, 0, 2, 2, 2, 3]"
87,"-,  91,","[1, 0, 2, 1, 2, 2, 1, 0]"
88,"-, 217,","[3, 3, 0, 1, 2, 3, 3, 2]"
89,"-, 957,","[0, 1, 2, 1, 3, 0, 0, 1]"
90,"-, 260,","[2, 2, 3, 2, 3, 3, 3, 3]"
91,"-, 557,","[0, 0, 1, 1, 0, 3, 3, 1]"
92,"-,1355,","[0, 2, 0, 1, 2, 3, 1, 3]"
93,"-, 244,","[3, 2, 3, 3, 2, 0, 3, 3]"
94,"-, 464,","[3, 2, 1, 0, 1, 2, 2, 2]"
95,"-, 296,","[0, 2, 2, 1, 0, 3, 2, 3]"
96,"-, 648,","[1, 1, 2, 0, 2, 3, 0, 2]"
97,"-, 230,","[1, 2, 1, 3, 0, 2, 2, 0]"
98,"-,1163,","[3, 0, 3, 2, 0, 1, 1, 2]"
99,"-,1321,","[0, 2, 0, 2, 2, 2, 3, 2]"
100,"-, 663,","[2, 0, 2, 0, 2, 1, 0, 3]"
101,"-, 799,","[1, 1, 3, 1, 0, 0, 3, 2]"
102,"-, 987,","[2, 3, 0, 3, 3, 1, 3, 1]"
103,"-,1226,","[1, 2, 1, 2, 0, 1, 3, 0]"
104,"-, 794,","[1, 3, 1, 2, 3, 1, 1, 3]"
105,"-,1442,","[3, 0, 0, 1, 0, 3, 3, 0]"
