,gene_name,sequence
48,"+,ILVGEDA,","[2, 2, 1, 1]"
30,"+,PORI-L,","[1, 3, 2, 3]"
6,"+,MALK,","[1, 0, 2, 2]"
78,"-, 991,","[3, 1, 3, 1]"
93,"-, 244,","[3, 2, 3, 3]"
80,"-, 850,","[1, 3, 0, 3]"
92,"-,1355,","[0, 2, 0, 1]"
82,"-,1108,","[0, 3, 1, 1]"
59,"-,1024,","[3, 2, 2, 0]"
27,"+,UVRBP1,","[3, 1, 1, 0]"
18,"+,TYRT,","[3, 1, 3, 1]"
61,"-, 313,","[1, 2, 3, 0]"
51,"+,TRPR,","[3, 2, 2, 2]"
63,"-,1384,","[1, 3, 0, 1]"
71,"-, 660,","[3, 3, 0, 2]"
43,"+,BIOA,","[2, 1, 1, 3]"
1,"+,AMPC,","[3, 2, 1, 3]"
79,"-, 751,","[3, 2, 0, 0]"
42,"+,ARABAD,","[3, 3, 0, 2]"
41,"+,ALAS,","[0, 0, 1, 2]"
4,"+,LEU1_TRNA,","[3, 1, 2, 0]"
15,"+,RRNG_P2,","[0, 0, 2, 1]"
17,"+,TNAA,","[0, 0, 0, 1]"
40,"+,PORI-R,","[2, 0, 3, 1]"
38,"+,RPOA,","[3, 3, 1, 2]"
5,"+,MALEFG,","[0, 2, 2, 2]"
53,"-, 867,","[0, 3, 0, 3]"
97,"-, 230,","[1, 2, 1, 3]"
56,"-, 521,","[3, 3, 2, 0]"
0,"+,S10,","[3, 0, 1, 3]"
34,"+,TUFB,","[0, 3, 2, 1]"
28,"+,UVRBP3,","[0, 1, 0, 2]"
55,"-, 802,","[1, 0, 0, 3]"
50,"+,LPP,","[1, 1, 0, 3]"
11,"+,RRNDEX_P2","[1, 1, 3, 2]"
62,"-, 780,","[1, 2, 0, 1]"
35,"+,SUBB-E,","[1, 1, 3, 3]"
23,"+,TRPP2,","[0, 1, 1, 2]"
31,"+,SPOT42,","[0, 3, 3, 0]"
95,"-, 296,","[0, 2, 2, 1]"
57,"-, 918,","[1, 2, 3, 1]"
86,"-,1320,","[3, 0, 2, 0]"
90,"-, 260,","[2, 2, 3, 2]"
32,"+,M1RNA,","[0, 3, 2, 1]"
89,"-, 957,","[0, 1, 2, 1]"
14,"+,RRNG_P1,","[3, 3, 3, 0]"
74,"-,  35,","[1, 0, 3, 2]"
19,"+,ARAC,","[2, 1, 0, 0]"
29,"+,LEXA,","[3, 2, 3, 2]"
49,"+,LACP1,","[3, 0, 2, 2]"
103,"-,1226,","[1, 2, 1, 2]"
104,"-, 794,","[1, 3, 1, 2]"
69,"-, 753,","[0, 0, 2, 3]"
20,"+,LACI,","[2, 0, 1, 0]"
100,"-, 663,","[2, 0, 2, 0]"
72,"-,1216,","[3, 0, 3, 3]"
77,"-, 413,","[0, 2, 2, 0]"
25,"+,BIOB,","[3, 3, 2, 3]"
37,"+,SPC,","[1, 1, 2, 3]"
81,"-,  93,","[2, 1, 2, 2]"
46,"+,HIS,","[0, 3, 0, 3]"
96,"-, 648,","[1, 1, 2, 0]"
39,"+,RPLJ,","[3, 2, 3, 0]"
65,"-,  39,","[0, 0, 1, 3]"
58,"-,1481,","[2, 1, 1, 0]"
12,"+,RRND_P1,","[2, 0, 3, 1]"
94,"-, 464,","[3, 2, 1, 0]"
88,"-, 217,","[3, 3, 0, 1]"
70,"-, 630,","[2, 0, 0, 2]"
87,"-,  91,","[1, 0, 2, 1]"
36,"+,STR,","[3, 1, 2, 3]"
21,"+,MALT,","[0, 0, 0, 0]"
83,"-, 915,","[3, 2, 2, 1]"
9,"+,RRNAB_P1,","[3, 3, 3, 3]"
102,"-, 987,","[2, 3, 0, 3]"
67,"-, 988,","[3, 0, 3, 3]"
64,"-, 507,","[0, 3, 0, 2]"
47,"+,HISJ,","[1, 0, 0, 2]"
44,"+,DEOP1,","[1, 0, 2, 0]"
